League,Team,Player,URL
EPL,Crystal Palace,Trevor Francis,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Iain Dowie,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Alan Pardew,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Alan Smith,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Sam Allardyce,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Steve Bruce,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Attilio Lombardo,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Alan Mullery,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,R. S. Moyes,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Neil Warnock,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Cyril Spiers,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Malcolm Allison,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Peter Taylor,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Bert Head,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Dario Gradi,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,George Smith,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Ronnie Rooke,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,George Irwin,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Fred Mavin,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Terry Venables,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Steve Coppell,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Patrick Vieira,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Steve Kember,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Laurie Scott,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Dave Bassett,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,George Burley,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Frank de Boer,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Oliver Glasner,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Everton,David Weir,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Leighton Baines,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Nick Ross,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Duncan Ferguson,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Alan Ball,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Jack Sharp,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Billy Stewart,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Tom Booth,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,T.E. Jones,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Phil Neville,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Kevin Ratcliffe,https://en.wikipedia.org/wiki/Everton_F.C.
EPL,Everton,Mick Lyons,https://en.wikipedia.org/wiki/Everton_F.C.
